tìn,tiền,,,
nhỉii,nhỉ,,,
nhee,nhé,,,
ems,em,,,
uoc,ước,,,
muzik,âm nhạc,,,
vid,băng hình,,,
mad,mà,,,
pcthssv,,,,
hok,không,,,
kon,con,,,
cỵ,chị ,,,
pldc,pháp luật đại cương,,,
was,quá,,,
ji,gì,,,
thê,thế  ,,,
àm,mà,,,
ạaa,ạ,,,
đrui,đúng rồi,,,
conbe,con bé,,,
ae,anh em,,,
nại,lại,,,
tar,ta ,,,
"ik, ikk, điii, điiiiii",biến,,,
đét,đấy,,,
sag,sang,,,
phãi,phải,,,
oiiiii,ơi,,,
zùm,dùm,,,
wuy,quỷ,,,
qa,qua ,,,
nhóe,nhớ,,,
phãi,phải,,,
"cmay, cm",chúng mày,,,
điêuuuu,điêu,,,
suốttttt,suốt,,,
suỵtt,suỵt,,,
tyeu,tình yêu,,,
mớii,mới,,,
mât,mất,,,
nv,như vậy,,,
ràu,giàu,,,
tíc tốc,tích tốc,,,
ng tôts,người tốt,,,
phãi,phải,,,
tráy,trái,,,
đêý,đấy,,,
alays,lấy,,,
thía ,thế,,,
hsau,hôm sau,,,
bhiem,bảo hiểm,,,
ácc,ác,,,
iem eim,em,,,
đgrl,đánh giá rèn luyện,,,
toy,tôi,,,
"r, rồiii, òi, dồi",rồi,,,
ôiii,ôi,,,
ơiiii,ơi,,,
mk ,mật khẩu,,,
tà tưa,trà sữa,,,
"pb, phatbieu",phát biểu,,,
hếc,hết,,,
khác bọt,khác biệt,,,
elct,em là của tôi,,,
ad,người quản trị ,,,
nhao,nhau,,,
zề,về,,,
sốg,sống,,,
bínnn,biến,,,
lap,máy tính,,,
"tag, tagg",nhắc đến,t làm từu 695,,
vs,vệ sinh,,,
pa,cha,,,
TVB,Trịnh Văn Bô,,,
phãi,phải,,,
kaito kid,siêu trộm,,,
nlkt,nguyên lý kế toán,,,
nứa,nữa,,,
ny,người yêu,,,
mún,muốn,,,
fb,Facebook,,,
mh,màn hình,,,
cap,chụp,,,
ez,dễ dàng,,,
vưng,vâng,,,
budget,ngân quỹ,,,
tcqt,tài chính quốc tế,,,
"FA, fa",ế,,,
Folder,thư mục,,,
"sdb, sbd",số báo danh,,,
qau,qua ,,,
ds,danh sách,,,
final,cuối cùng,,,
mid,giữa,,,
chêu,trêu,,,
dzạ,dạ,,,
"kéee, kéeeeee",ké,,,
trade,trao đổi,,,
zữ,dữ,,,
rep,trả lời,,,
cfs,Lời thổ lộ,,,
tool,công cụ,,,
topic,chủ đề,,,
vocab,từ vựng,,,
essay,đoạn văn,,,
book,thuê,,,
kìaaaaaa,kìa,,,
vầy,vậy,,,
sdung,sử dụng,,,
zai,trai,,,
vphong,văn phòng,,,
gdtc,giáo dục thể chất,,,
svđ,sân vận động,,,
póc,bóc,,,
dô dọng,vô vọng,,,
cc,cao cấp,,,
uii,ơi,,,
pass,bán,,,
chill,thư giãn,,,
"ạaaa, ạff, ah",ạ,,,
pplnckh,phương pháp luận nghiên cứu khoa học,,,
nckh,nghiên cứu khoa học,,,
nhóe,nhé,,,
xh,xã hội,,,
LSĐ,Lịch sử đảng,,,
out,ra,,,
"kdoanh, kd",kinh doanh,,,
slot,chỗ,,,
tccb,tài chính căn bản,,,
cư,cơ,,,
httt,hệ thống thông tin,,,
qtkd,quản trị kinh doanh,,,
"app, apply",đăng ký,,,
liiiuuu,ly,,,
Emmm,em,,,
hem,không,,,
hmm,hừm,,,
đók,đó,,,
cíuuuu,cứu,,,
xao,sao,,,
"hẻ, hã",hả,,,
call,gọi,,,
CTSV,công tác sinh viên,,,
KHTC,,,,
max,nhiều nhất,,,
thptqg,Trung học phổ thông quốc gia,,,
logic,tư duy,,,
STT,Số thứ tự,,,
"helppp, help",giúp đỡ,,,
add,thêm,,,
ây,A,t cứ tưởng ây là ê haha,,
choánnnn,chán,,,
nguuuuu,ngu,,,
hk,học kỳ,,,
test,thử,,,
bonus,điểm cộng,,,
zợ,vậy,,,
chời,trời,,,
kóc,cóc,,,
pm,nhắn tin,,,
THCS,trung học cơ sở,,,
unlook,mở khóa,,,
check,kiểm tra,,,
acc,tài khoản,,,
báccccc,bác,,,
trump,chăm,,,
trấm,chấm,,,
khbiet,không biết,"cái này trên có không biết rồi, t nghĩ nhét vô 1 nhóm luôn hè",,
drama,kịch,lười. gõ tìm xong lại phải kéo xuống,,"ừ thế thôi, chiều t cũng nhóm cả đống xong kéo mãi kéo đi kéo lại"
hqua,hôm qua,,,
hnay,hôm nay,,,
đún,đúng,,,
đỉm,điểm,,,
lém,lắm,,,
đkhum,đúng không,,,
part,phần,,,
bcuoi,buồn cười,,,
bòa,bò,,,
thiệc,thiệt,,,
dl,thời hạn,,,
ibx,nhắn tin,,,
form,cấu trúc,,,
block,chặn,,,
lụm,làm,,,
azai,anh trai,,,
ce,chị em,,,
girl,con gái,,,
vote,bỏ phiếu,,,
hayyy,hay,,,
làooooo,nào,,,
lói,nói,,,
ptkd,phân tích kinh doanh,,,
rcm,đề cử,,,
gth,giới thiệu,,,
đâuuuuuuu,đâu,,,
demand,nhu cầu,,,
money,tiền,,,
zề,về,,,
iii,đi,,,
gảnh,rảnh,,,
cia cỉa,cảm ơn,,,
bingchilingggg,kem,,,
nghie,nghỉ,,,
trend,xu hướng,,,
tkt,toán kinh tế,,,
ultr,u là trời,,,
đink,đỉnh,,,
food,món ăn,,,
tour,chuyến du lịch,,,
"sn, snhat",sinh nhật,,,
cbij,chuẩn bị,,,
vchg,vãi,,,
nhauu,nhau,,,
sgk,sách giáo khoa,,,
lgi,làm gì,,,
"nekkkk, nek",nè,,,
méc,mách,,,
cíuuu,cứu,,,
nhìu,nhiều,,,
gực gỡ,rực rỡ,,,
"tips, típ",mẹo,,,
survival,sống,,,
vứi,với,,,
tus,bài viết,,,
métttt,mét,,,
share,chia sẻ,,,
tsv,tân sinh viên,,,
blx,bằng lái xe,,,
hếc tìn,hết tiền,,,
đóoo,đó,,,
sêding,tương tác,,,
oen,ơn,,,
roiif,rồi,,,
thiệc,thật,,,
chawc,chắc,,,
thẻ cc,thẻ căn cước,,,
nvqs,nghĩa vụ quân sự,,,
LTSXTK,lý thuyết xác suất thống kê,,,
TACN,Tiếng anh chuyên ngành,,,
TAHT,Tiếng anh học thuật,,,
MIS,Hệ thống thông tin,,,
rank,trình độ,,,
kc,kim cương,,,
bus,buýt,,,
photo,bản sao,,,
ttin,thông tin,,,
nủi,nổi,,,
quýt,quyết,,,
chếc,chết,cái này có rồi,chưa,
mầy,mày,,,
load,chất đống,,,
thg,tháng,,,
giề,gì,,,
fen,bạn,,,
cú tuii,cứu tôi,,,
CLC,chất lượng cao,,,
meeee,tôi,,,
agent,đại lý,,,
phỉ,phải,,,
hoangmang,hoang mang,,,
thanks,cảm ơn,,,
later,sau,,,
me ,tôi,,,
mềnh,mình,,,
ava,ảnh đại diện,,,
ngiu,người yêu,,,
đìu,điều,,,
rì hớt,gì hết,,,
pv,phỏng vấn,,,
kphai,không phải,,,
phíii,phí,,,
gheeee,ghê,,,
nuẫ,nữa,,,
best,tốt,,,
easy,dễ,,,
feedback,"đánh giá, nhận xét",,,
thôyyyy,thôi,"t muốn đi nằm quá, đau lưng ",,
pb,phát biểu,4p nữa đi ngủ đây,,
giầu,giàu,nãy giờ t quay t ngáp cả chục lần,,
"mkt, mar",tiếp thị,t thì bỏng mặt nên đau vch xong k hiểu sao đau lưng rã rời,,
mak,mà,lấy đá chườm chưa,,
zah,vậy,"rửa nước lạnh rồi, bôi cái kem đu đủ mà vẫn rát",,
vcc,vãi cứt,chắc mai đỡ,,
"lol, loz",lìn,,,
nc,nước,,,
nghjem cup' hok nhjeu` co' khat',nghiệm cúp học nhiều có khác,,,
trầm kẽm,trầm cảm,,,
đtiên,đầu tiên,,,
cup hok,cúp học,,,
founder,người sáng lập,,,
ckufa pộc,chùa bộc,,,
fl,theo dõi,,,
xaau ho,xấu hổ,,,
shaoo,sao,,,
qth,quản trị học,,,
ag ,à,,,
cuốu,cuối,,,
bro,người anh em,,,
TTCK,thị trường chứng khoán,,,
NHTM,ngân hàng thương mại,,,
OTHK,ôn thi học kỳ,,,
unlimited,không giới hạn,,,
ló,nó,,,
wần,quần,,,
giựt,giật,,,
seoooo,sao,,,
hỉu,hiểu,,,
kỉu,kiểu,,,
djttt,bực thật,,,
duma,hỏi chấm,,,
bye,tạm biệt,,,
j,gì,,,
quất,chiến ,,,
choa,cho,,,
zui zẻ,vui vẻ,,,
zui,vui,,,
review,hồi tưởng,,,
đz,đẹp trai,,,
đỉnh xỉu,rất tuyệt vời,,,
auuu,ồ,,,
jztr,gì vậy trời,,,
idol,thần tượng,,,
trl,trả lời,,,
nka,nha,,,
eooo ôiiii,eo ôi,,,
deee,đi,,,
ảo ma,lạ lùng quá,,,
Sadness,buồn chán,,,
Khộ,khổ thân,,,
kn,kinh nghiệm,,,
z,khó hiểu,,,
baoh,bao giờ,,,
high,cao,,,
